agent,metric,mean,std,min,max,median,q25,q75,iqr,ci_95_lower,ci_95_upper,ci_99_lower,ci_99_upper,sample_size,std_error,coefficient_of_variation,sample_size_per_replication,num_replications
RandomAgent,win_rate,0.532,0.14394239043695878,0.335,0.86,0.5,0.4375,0.545,0.10750000000000004,0.4825540588787812,0.5814459411212188,0.4656162422331093,0.5983837577668907,35,0.02433070474271781,0.27056840307699015,100,5
RandomAgent,avg_score,22.602285714285713,2.982708338677023,18.13,28.565,22.215,20.455,24.0775,3.6225000000000023,21.57768955155501,23.626881877016416,21.22671186670022,23.977859561871206,35,0.5041697286094222,0.1319648984346663,100,5
RandomAgent,avg_game_length,88.15199999999997,19.70066545606429,42.91,118.37,93.115,87.0675,99.5825,12.515,81.38458463867171,94.91941536132823,79.06639151794067,97.23760848205927,35,3.330020246235169,0.223485178510576,100,5
RandomAgent,avg_captures_per_game,22.602285714285713,2.982708338677023,18.13,28.565,22.215,20.455,24.0775,3.6225000000000023,21.57768955155501,23.626881877016416,21.22671186670022,23.977859561871206,35,0.5041697286094222,0.1319648984346663,100,5
RandomAgent,score_variance,162.33146142857143,52.62015327733818,51.319375,231.918975,169.3271,136.1630875,209.14827499999998,72.9851875,144.25580634988017,180.40711650726269,138.06395066808193,186.59897218906093,35,8.894429285361811,0.32415252603693173,100,5
RandomAgent,win_margin,23.981243362431453,2.9413249722884354,17.601941747572816,29.376470588235293,23.556962025316455,22.06425936711318,26.46975003018959,4.40549066307641,22.97086288343114,24.991623841431768,22.624754812523587,25.33773191233932,35,0.49717466297376145,0.12265106224209615,100,5
GreedyAgent,win_rate,0.5634285714285716,0.2206100213331322,0.095,1.0,0.5,0.4875,0.5125,0.024999999999999967,0.4876463776462175,0.6392107652109257,0.46168701932102096,0.6651701235361223,35,0.037289899633089096,0.3915492265040378,100,5
GreedyAgent,avg_score,19.55557142857143,4.375114749995736,9.43,27.18,18.52,17.31,23.57,6.260000000000002,18.052666928582525,21.058475928560334,17.537843663425917,21.57329919371694,35,0.7395293691768772,0.2237272772097842,100,5
GreedyAgent,avg_game_length,48.80771428571428,11.533715560124099,36.03,92.065,46.5,42.927499999999995,51.8,8.872500000000002,44.84574437008648,52.76968420134209,43.48856280037875,54.126865771049815,35,1.9495537556934757,0.2363092746488222,100,5
GreedyAgent,avg_captures_per_game,19.55557142857143,4.375114749995736,9.43,27.18,18.52,17.31,23.57,6.260000000000002,18.052666928582525,21.058475928560334,17.537843663425917,21.57329919371694,35,0.7395293691768772,0.2237272772097842,100,5
GreedyAgent,score_variance,128.49704357142855,77.77525941053945,1.0,289.220775,121.0,69.8009375,182.17149999999998,112.37056249999998,101.78030720330973,155.21377993954735,92.62842998724926,164.36565715560783,35,13.146418280686301,0.6052688626046557,100,5
GreedyAgent,win_margin,21.040433718140484,6.497677235570932,9.976047904191617,38.76699029126213,23.29,17.09313725490196,24.126262626262626,7.033125371360665,18.808403493830472,23.272463942450496,18.043816596914535,24.037050839366433,35,1.0983079122990798,0.30881859768740477,100,5
HeuristicAgent,win_rate,0.4431428571428571,0.2263621698358034,0.045,0.965,0.5,0.2025,0.5,0.2975,0.3653847312162598,0.5209009830694544,0.33874851295868924,0.547537201327025,35,0.03826219018926166,0.510810828127216,100,5
HeuristicAgent,avg_score,22.067571428571426,8.198965086362726,8.79,43.275,21.375,14.2175,29.33,15.112499999999999,19.25112838017859,24.884014476964264,18.286349575995132,25.84879328114772,35,1.3858780454220034,0.37153907546651577,100,5
HeuristicAgent,avg_game_length,78.04685714285712,24.24092859697618,46.5,141.265,75.5,57.697500000000005,92.2725,34.57499999999999,69.71980682438473,86.37390746132951,66.86735729474998,89.22635699096426,35,4.097464788460917,0.3105945515859215,100,5
HeuristicAgent,avg_captures_per_game,22.067571428571426,8.198965086362726,8.79,43.275,21.375,14.2175,29.33,15.112499999999999,19.25112838017859,24.884014476964264,18.286349575995132,25.84879328114772,35,1.3858780454220034,0.37153907546651577,100,5
HeuristicAgent,score_variance,169.90206357142858,106.79666808972277,20.25,485.534375,182.120975,91.95383749999999,213.5073875,121.55355,133.21612452125345,206.58800262160372,120.6492748463161,219.15485229654107,35,18.05193168537168,0.6285778162124814,100,5
HeuristicAgent,win_margin,30.47268638452413,7.190926993704704,15.182926829268293,43.95283018867924,28.793478260869566,25.0,37.19823529411765,12.198235294117652,28.002516536306775,32.94285623274149,27.156354383781416,33.78901838526684,35,1.2154885088343341,0.23597942442503822,100,5
MinimaxAgent,win_rate,0.48314285714285715,0.35875619632747996,0.0,0.99,0.52,0.0125,0.66,0.6475000000000001,0.35990579190702576,0.6063799223786885,0.31769066226073295,0.6485950520249814,35,0.06064086514727774,0.7425468285902896,100,5
MinimaxAgent,avg_score,19.45828571428571,12.934246035397722,2.0,42.85,21.215,3.3175,26.685000000000002,23.367500000000003,15.015216747790186,23.90135468078124,13.493233632652727,25.423337795918698,35,2.1862866137043664,0.6647166263933401,100,5
MinimaxAgent,avg_game_length,82.9147142857143,24.713890323378195,39.0,121.415,83.605,75.5,101.6575,26.1575,74.42519592981894,91.40423264160965,71.51709261412505,94.31233595730355,35,4.1774099115393994,0.29806398702909415,100,5
MinimaxAgent,avg_captures_per_game,19.45828571428571,12.934246035397722,2.0,42.85,21.215,3.3175,26.685000000000002,23.367500000000003,15.015216747790186,23.90135468078124,13.493233632652727,25.423337795918698,35,2.1862866137043664,0.6647166263933401,100,5
